Name,Description,Recommended Setting,Complexity,SMB Justification (if not using recommended)
CISv4 - WIN - L1 - Defer Quality Updates Period (Days),This policy settings controls when Quality Updates are received. The recommended state for this setting is: Enabled: 0 days.,Enabled: 0 days,Simple,"'defer quality updates period (days)' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Deny Access From Network,"The recommended state for this setting is to include: *S-1-5-32-546 and *S-1-5-113(Guests, Local account).","to include: *S-1-5-32-546 and *S-1-5-113(Guests, Local account)",Simple,Restricting network logon rights to Administrators and Remote Desktop Users is correct for most SMBs. Deviating would only be needed if a specific service account or legacy app requires broader network access — document the exception and scope it tightly.
CISv4 - WIN - L1 - Deny Local Log On,The recommended state for this setting is to include: *S-1-5-32-546 (Guests).,to include: *S-1-5-32-546 (Guests),Simple,"'deny local log on' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Deny Log On As Batch Job,The recommended state for this setting is to include: *S-1-5-32-546 (Guests).,to include: *S-1-5-32-546 (Guests),Simple,"'deny log on as batch job' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Deny Log On As Service Job,The recommended state for this setting is to include: *S-1-5-32-546 (Guests,to include: *S-1-5-32-546 (Guests,Simple,"'deny log on as service job' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Deny Remote Desktop Services Log On,"The recommended state for this setting is to include: *S-1-5-32-546 and *S-1-5-113 (Guests, Local account)","to include: *S-1-5-32-546 and *S-1-5-113 (Guests, Local account)",Simple,Clipboard redirection is commonly needed in RDS/remote work scenarios. Blocking may frustrate users who copy/paste between local and remote sessions. Evaluate whether dedicated VDI/RDS use justifies the risk.
CISv4 - WIN - L1 - Detailed Tracking Audit PNP Activity,This policy setting allows you to audit when plug and play detects an external device. The recommended state for this setting is to include: Success.,to include: Success,Moderate,"Full audit logging (Success and Failure) can generate high event volume on busy systems, impacting SIEM ingestion costs. For SMBs without a SIEM, Failure-only auditing is a pragmatic compromise."
CISv4 - WIN - L1 - Detailed Tracking Audit Process Creation,This subcategory reports the creation of a process and the name of the program or user that created it. Events for this subcategory include: • 4688: A new process has been created. • 4696: A primary token was assigned to process. The recommended state for this setting is to include: Success.,to include: Success,Moderate,"Full audit logging (Success and Failure) can generate high event volume on busy systems, impacting SIEM ingestion costs. For SMBs without a SIEM, Failure-only auditing is a pragmatic compromise."
CISv4 - WIN - L1 - Disable Consumer Account State Content,This policy setting determines whether cloud consumer account state content is allowed in all Windows experiences. The recommended state for this setting is: Enabled.,Enabled,Simple,"'disable consumer account state content' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Disallow Autoplay for non-volume devices,This policy setting disallows AutoPlay for MTP devices like cameras or phones. The recommended state for this setting is: Enabled.,Enabled,Simple,"'disallow autoplay for non-volume devices' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Disallow Digest authentication WinRM Client,This policy setting allows you to manage whether the Windows Remote Management (WinRM) client will not use Digest authentication. The recommended state for this setting is: Enabled.,Enabled,Moderate,"Disabling basic/unencrypted WinRM is critical — however, some RMM tools or legacy scripts may depend on it. Audit WinRM usage before enforcing; migrate to HTTPS/Kerberos-based WinRM."
CISv4 - WIN - L1 - Disallow Exploit Protection Override,This policy setting prevent users from making changes to the Exploit protection settings area in the Windows Security settings. The recommended state for this setting is: (Enable).,(Enable),Simple,"'disallow exploit protection override' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Disallow WinRM from storing RunAs  credentials WinRM Service,This policy setting allows you to manage whether the Windows Remote Management (WinRM) service will allow RunAs credentials to be stored for any plug-ins. The recommended state for this setting is: Enabled.,Enabled,Moderate,"Disabling basic/unencrypted WinRM is critical — however, some RMM tools or legacy scripts may depend on it. Audit WinRM usage before enforcing; migrate to HTTPS/Kerberos-based WinRM."
CISv4 - WIN - L1 - Do not allow drive redirection,This policy setting prevents users from sharing the local drives on their client computers to Remote Desktop Servers that they access. Mapped drives appear in the session folder tree in Windows Explorer in the following format: \\TSClient\<driveletter>$ If local drives are shared they are left vulnerable to intruders who want to exploit the data that is stored on them. The recommended state for this setting is: Enabled.,Enabled,Simple,"'do not allow drive redirection' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Do not allow passwords to be saved,This policy setting helps prevent Remote Desktop clients from saving passwords on a computer. The recommended state for this setting is: Enabled.,Enabled,Simple,"'do not allow passwords to be saved' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Do not delete temp folders upon exit,This policy setting specifies whether Remote Desktop Services retains a user's per session temporary folders at logoff. The recommended state for this setting is: Disabled.,Disabled,Simple,"'do not delete temp folders upon exit' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Do not display network selection UI,This policy setting allows you to control whether anyone can interact with available networks UI on the logon screen. The recommended state for this setting is: Enabled.,Enabled,Simple,"'do not display network selection ui' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Do not display the password reveal button,This policy setting allows you to configure the display of the password reveal button in password entry user experiences. The recommended state for this setting is: Enabled.,Enabled,Simple,"'do not display the password reveal button' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Do not enumerate connected users on  domain-joined computers,This policy setting prevents connected users from being enumerated on domain-joined computers. The recommended state for this setting is: Enabled.,Enabled,Simple,"'do not enumerate connected users on  domain-joined computers' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Do not preserve zone information in file  attachments (User),"This policy setting allows you to manage whether Windows marks file attachments with information about their zone of origin (such as restricted, Internet, intranet, local). This requires NTFS in order to function correctly, and will fail without notice on FAT32. By not preserving the zone information, Windows cannot make proper risk assessments. The recommended state for this setting is: Disabled",Disabled,Simple,"'do not preserve zone information in file  attachments (user)' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Enable App Installer Experimental  Features,This policy setting controls whether users can enable experimental features in the Windows Package Manager. The recommended state for this setting is Disabled.,Disabled,Simple,"'enable app installer experimental  features' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Enable App Installer Hash Override,This policy setting controls whether or not users can override the SHA256 security validation in the Windows Package Manager settings. The recommended state for this setting is: Disabled,Disabled,Simple,"'enable app installer hash override' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Enable App Installer ms-appinstaller  protocol,This policy setting controls whether users can install packages from a website that is using the ms-appinstaller protocol. The ms-appinstaller protocol allows users to install an application by clicking a link on a website. The recommended state for this setting is: Disabled.,Disabled,Simple,"'enable app installer ms-appinstaller  protocol' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Enable Delegation,This policy setting allows users to change the Trusted for Delegation setting on a computer object in Active Directory. Abuse of this privilege could allow unauthorized users to impersonate other users on the network,No One / Empty,Simple,"'enable delegation' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Enable ESS with Supported Peripherals,"The recommended state for this setting is: ESS will be enabled on systems with capable software and hardware, following the existing default behavior in Windows. Authentication operations of any peripheral biometric device will be blocked and not available for Windows Hello. (default and recommended for highest security)..","ESS will be enabled on systems with capable software and hardware, following the existing default behavior in Windows",Simple,"'enable ess with supported peripherals' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Enable MPR notifications for the system,This policy setting controls whether winlogon sends Multiple Provider Router (MPR) notifications. MPR handles communication between the Windows operating system and the installed network providers. MPR checks the registry to determine which providers are installed on the system and the order they are cycled through. The recommended state for this setting is: Disabled.,Disabled,Simple,"'enable mpr notifications for the system' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Enable Network Protection,This policy setting controls Microsoft Defender Exploit Guard network protection.The recommended state for this setting is: Enabled (block mode).,Enabled (block mode),Simple,"'enable network protection' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Enable OneSettings Auditing,This policy setting controls whether Windows records attempts to connect with the OneSettings service to the Event Log. The recommended state for this setting is: Enabled.,Enabled,Moderate,Audit policies are low-risk to enable and strongly recommended for incident response. Only skip if event log storage or SIEM capacity is a documented constraint.
CISv4 - WIN - L1 - Enable RPC Endpoint Mapper Client  Authentication,"This policy setting controls whether RPC clients authenticate with the Endpoint Mapper Service when the call they are making contains authentication information. The Endpoint Mapper Service on computers running Windows NT4 (all service packs) cannot process authentication information supplied in this manner. This policy setting can cause a specific issue with 1-way forest trusts if it is applied to the trusting domain DCs (see Microsoft KB3073942), so we do not recommend applying it to Domain Controllers.Note: This policy will not in effect until the system is rebooted. The recommended state for this setting is: Enabled.",Enabled,Complex,RPC hardening settings are generally safe but can break some older printer or file share workflows. Test on a pilot group before broad deployment.
CISv4 - WIN - L1 - Enable Structured Exception Handling  Overwrite Protection (SEHOP),Windows includes support for Structured Exception Handling Overwrite Protection (SEHOP). We recommend enabling this feature to improve the security profile of the computer. The recommended state for this setting is: Enabled.,Enabled,Simple,"'enable structured exception handling  overwrite protection (sehop)' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Enable Sudo,This policy setting configures the use of the sudo.exe command line tool. The sudo feature in Windows allows users to run elevated commands (as an administrator) directly from an unelevated console session. The recommended state for this setting is: Sudo is disabled.,Sudo is disabled,Simple,"'enable sudo' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Enable Virtualization Based Security,This policy setting specifies whether Virtualization Based Security is enabled. Virtualization Based Security uses the Windows Hypervisor to provide support for security services. The recommended state for this setting is: Enable virtualization based security.,Enable virtualization based security,Simple,"'enable virtualization based security' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Enable Windows NTP Client,This policy setting specifies whether the Windows NTP Client is enabled. Enabling the Windows NTP Client allows synchronization from a systems computer clock to NTP server(s). The recommended state for this setting is: Enabled.,Enabled,Simple,"'enable windows ntp client' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Enable Windows NTP Server,This policy setting specifies whether the Windows NTP Server is enabled. Disabling this setting prevents the system from acting as a NTP Server (time source) to service NTP requests from other systems (NTP Clients). The recommended state for this setting is: Disabled.,Disabled,Simple,"'enable windows ntp server' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Enable insecure guest logons,This policy setting determines if the SMB client will allow insecure guest logons to an SMB server. The recommended state for this setting is: Disabled.,Disabled,Simple,"'enable insecure guest logons' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Encryption Oracle Remediation,Some versions of the CredSSP protocol that is used by some applications (such as Remote Desktop Connection) are vulnerable to an encryption oracle attack against the client. This policy controls compatibility with vulnerable clients and servers and allows you to set the level of protection desired for the encryption oracle vulnerability. The recommended state for this setting is: Enabled: Force Updated Clients,Enabled: Force Updated Clients,Simple,"'encryption oracle remediation' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Enumerate administrator accounts on  elevation,This policy setting controls whether administrator accounts are displayed when a user attempts to elevate a running application. The recommended state for this setting is: Disabled.,Disabled,Simple,Prompting admins for credentials (not just consent) is the most secure option but adds friction for IT staff performing frequent admin tasks on SMB endpoints. Consent prompt is an acceptable middle ground.
CISv4 - WIN - L1 - Enumerate local users on domain-joined  computers,This policy setting allows local users to be enumerated on domain-joined computers. The recommended state for this setting is: Disabled.,Disabled,Simple,"'enumerate local users on domain-joined  computers' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Facial Features Use Enhanced Anti Spoofing,This policy setting determines whether enhanced anti-spoofing is configured for devices which support it. The recommended state for this setting is: true.,true,Simple,"'facial features use enhanced anti spoofing' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Generate Security Audits,"The recommended state for this setting is: *S-1-5-19 and *S-1-5-20 (LOCAL SERVICE, NETWORK SERVICE).","*S-1-5-19 and *S-1-5-20 (LOCAL SERVICE, NETWORK SERVICE)",Moderate,Audit policies are low-risk to enable and strongly recommended for incident response. Only skip if event log storage or SIEM capacity is a documented constraint.
CISv4 - WIN - L1 - Hardened UNC Paths,"This policy setting configures secure access to UNC paths. The recommended state for this setting is: Enabled, with ""Require Mutual Authentication"", ""Require Integrity"", and “Require Privacy” set for all NETLOGON and SYSVOL shares. Note: If the environment is 100% managed by Intune these shares will not be available. An exception to this recommendation will be needed.","Enabled, with ""Require Mutual Authentication"", ""Require Integrity"", and “Require Privacy” set for all NETLOGON and SYSVOL shares",Simple,"'hardened unc paths' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Hide Exclusions From Local Users,"This policy setting controls whether Microsoft Defender Antivirus exclusions are visible to local users on the system. The recommended state for this setting is: If you enable this setting, local users will no longer be able to see the exclusion list in Windows Security App or via PowerShell..","If you enable this setting, local users will no longer be able to see the exclusion list in Windows Security App or via PowerShell",Simple,"'hide exclusions from local users' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Hypervisor Enforced Code Integrity,The recommended state for this setting is: Enabled with UEFI lock.,Enabled with UEFI lock,Simple,"'hypervisor enforced code integrity' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Impersonate Client,"The recommended state for this setting is: *S-1-5-32-544, *S-1-5-19, *S-1-5-20 and *S-1-5-6 (Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE).","*S-1-5-32-544, *S-1-5-19, *S-1-5-20 and *S-1-5-6 (Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE)",Simple,"'impersonate client' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Include command line in process creation  events,This policy setting controls whether the process creation command line text is logged in security audit events when a new process has been created. The recommended state for this setting is: Enabled.,Enabled,Simple,"'include command line in process creation  events' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Increase Scheduling Priority,"The recommended state for this setting is: *S-1-5-32-544 and *S-1-5-90-0 (Administrators, Window Manager\Window Manager Group).","*S-1-5-32-544 and *S-1-5-90-0 (Administrators, Window Manager\Window Manager Group)",Simple,"'increase scheduling priority' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Interactive logon: Do not display last signed-in,This policy setting determines whether the account name of the last user to log on to the client computers in your organization will be displayed in each computer's respective Windows logon screen. Enable this policy setting to prevent intruders from collecting account names visually from the screens of desktop or laptop computers in your organization. The recommended state for this setting is: Enabled,Enabled,Simple,"'interactive logon: do not display last signed-in' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Interactive logon: Do not require  CTRL+ALT+DEL,This policy setting determines whether users must press CTRL+ALT+DEL before they log on. The recommended state for this setting is: Disabled.,Disabled,Simple,"'interactive logon: do not require  ctrl+alt+del' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Interactive logon: Machine inactivity limit,"Windows notices inactivity of a logon session, and if the amount of inactive time exceeds the inactivity limit, then the screen saver will run, locking the session. The recommended state for this setting is: 900 or fewer second(s), but not 0","900 or fewer second(s), but not 0",Simple,"'interactive logon: machine inactivity limit' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Interactive logon: Message text for users  attempting to log on,This policy setting specifies a text message that displays to users when they log on. Set the following group policy to a value that is consistent with the security and operational requirements of your organization.,Configure logon banner text (org-specific),Simple,"'interactive logon: message text for users  attempting to log on' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Interactive logon: Message title for users  attempting to log on,This policy setting specifies the text displayed in the title bar of the window that users see when they log on to the system. Configure this setting in a manner that is consistent with the security and operational requirements of your organization,<YOURTITLE> (configured value),Simple,"'interactive logon: message title for users  attempting to log on' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Interactive logon: Smart card removal  behavior,This policy setting determines what happens when the smart card for a logged-on user is removed from the smart card reader. The recommended state for this setting is: Lock Workstation. Configuring this setting to Force Logoff or Disconnect if a Remote Desktop Services session also conforms to the benchmark.,Lock Workstation,Simple,"'interactive logon: smart card removal  behavior' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Let Apps Activate With Voice Above Lock,This policy setting specifies whether Windows apps can be activated by voice (apps and Cortana) while the system is locked. The recommended state for this setting is: Enabled: Force Deny.,Enabled: Force Deny,Simple,"'let apps activate with voice above lock' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Limit Diagnostic Log Collection,This policy setting controls whether additional diagnostic logs are collected when more information is needed to troubleshoot a problem on the device. The recommended state for this setting is: Enabled,Enabled,Simple,"'limit diagnostic log collection' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Limit Dump Collection,This policy setting limits the type of memory dumps that can be collected when more information is needed to troubleshoot a problem. The recommended state for this setting is: Enabled.,Enabled,Simple,"'limit dump collection' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Limits print driver installation to Administrators,This policy setting controls whether users who aren't Administrators can install print drivers on the system. The recommended state for this setting is: Enabled.,Enabled,Simple,"'limits print driver installation to administrators' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Load Unload Device Drivers,The recommended state for this setting is: *S-1-5-32-544 (Administrators).,*S-1-5-32-544 (Administrators),Simple,"'load unload device drivers' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Lock Memory,"This policy setting allows a process to keep data in physical memory, which prevents the system from paging the data to virtual memory on disk. If this user right is assigned, significant degradation of system performance can occur.",No One / Empty,Simple,"'lock memory' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - MSI Allow user control over installs,"This setting controls whether users are permitted to change installation options that typically are available only to system administrators. The security features of Windows Installer normally prevent users from changing installation options that are typically reserved for system administrators, such as specifying the directory to which files are installed. If Windows Installer detects that an installation package has permitted the user to change a protected option, it stops the installation and displays a message. These security features operate only when the installation program is running in a privileged security context in which it has access to directories denied to the user. The recommended state for this setting is: Disabled.",Disabled,Simple,"'msi allow user control over installs' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - MSI Always install with elevated privileges  (User),This setting controls whether or not Windows Installer should use system permissions when it installs any program on the system. The recommended state for this setting is: Disabled,Disabled,Simple,"'msi always install with elevated privileges  (user)' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - MSI Always install with elevated privileges,This setting controls whether or not Windows Installer should use system permissions when it installs any program on the system. The recommended state for this setting is: Disabled.,Disabled,Simple,"'msi always install with elevated privileges' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - MSS: (AutoAdminLogon) Enable Automatic  Logon (not recommended),"This setting is separate from the Welcome screen feature in Windows XP and Windows Vista; if that feature is disabled, this setting is not disabled. If you configure a computer for automatic logon, anyone who can physically gain access to the computer can also gain access to everything that is on the computer, including any network or networks to which the computer is connected. Also, if you enable automatic logon, the password is stored in the registry in plaintext, and the specific registry key that stores this value is remotely readable by the Authenticated Users group. The recommended state for this setting is: Disabled.",Disabled,Simple,"'mss: (autoadminlogon) enable automatic  logon (not recommended)' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - MSS: (DisableIPSourceRouting IPv6) IP  source routing protection level (protects against packet spoofing),"IP source routing is a mechanism that allows the sender to determine the IP route that a datagram should follow through the network. The recommended state for this setting is: Enabled: Highest protection, source routing is completely disabled.","Enabled: Highest protection, source routing is completely disabled",Simple,"'mss: (disableipsourcerouting ipv6) ip  source routing protection level (protects against packet spoofing)' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - 'MSS: (DisableIPSourceRouting) IP source  routing protection level (protects against packet spoofing),"IP source routing is a mechanism that allows the sender to determine the IP route that a datagram should take through the network. It is recommended to configure this setting to Not Defined for enterprise environments and to Highest Protection for high security environments to completely disable source routing. The recommended state for this setting is: Enabled: Highest protection, source routing is completely disabled.","Enabled: Highest protection, source routing is completely disabled",Simple,"''mss: (disableipsourcerouting) ip source  routing protection level (protects against packet spoofing)' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - MSS: (EnableICMPRedirect) Allow ICMP  redirects to override OSPF generated routes,Internet Control Message Protocol (ICMP) redirects cause the IPv4 stack to plumb host routes. These routes override the Open Shortest Path First (OSPF) generated routes. The recommended state for this setting is: Disabled.,Disabled,Simple,"'mss: (enableicmpredirect) allow icmp  redirects to override ospf generated routes' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - MSS: (NoNameReleaseOnDemand) Allow the  computer to ignore NetBIOS name release requests except from  WINS servers,NetBIOS over TCP/IP is a network protocol that among other things provides a way to easily resolve NetBIOS names that are registered on Windows-based systems to the IP addresses that are configured on those systems. This setting determines whether the computer releases its NetBIOS name when it receives a name-release request. The recommended state for this setting is: Enabled.,Enabled,Simple,"'mss: (nonamereleaseondemand) allow the  computer to ignore netbios name release requests except from  wins servers' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - MSS: (SafeDllSearchMode) Enable Safe DLL  search mode (recommended),"The DLL search order can be configured to search for DLLs that are requested by running processes in one of two ways: • Search folders specified in the system path first, and then search the current working folder. • Search current working folder first, and then search the folders specified in the system path. When enabled, the registry value is set to 1. With a setting of 1, the system first searches the folders that are specified in the system path and then searches the current working folder. When disabled the registry value is set to 0 and the system first searches the current working folder and then searches the folders that are specified in the system path. Applications will be forced to search for DLLs in the system path first. For applications that require unique versions of these DLLs that are included with the application, this entry could cause performance or stability problems. The recommended state for this setting is: Enabled.",Enabled,Simple,"'mss: (safedllsearchmode) enable safe dll  search mode (recommended)' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - MSS: (ScreenSaverGracePeriod) The time in  seconds before the screen saver grace period expires (0  recommended),Windows includes a grace period between when the screen saver is launched and when the console is actually locked automatically when screen saver locking is enabled. The recommended state for this setting is: Enabled: 5 or fewer seconds.,Enabled: 5 or fewer seconds,Simple,"'mss: (screensavergraceperiod) the time in  seconds before the screen saver grace period expires (0  recommended)' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - MSS: (WarningLevel) Percentage threshold  for the security event log at which the system will generate a  warning,This setting can generate a security audit in the Security event log when the log reaches a user-defined threshold. The recommended state for this setting is: Enabled: 90% or less.,Enabled: 90% or less,Moderate,Audit policies are low-risk to enable and strongly recommended for incident response. Only skip if event log storage or SIEM capacity is a documented constraint.
CISv4 - WIN - L1 - Manage Volume,The recommended state for this setting is: *S-1-5-32-544 (Administrators).,*S-1-5-32-544 (Administrators),Simple,"'manage volume' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Manage auditing and security log,The recommended state for this setting is: *S-1-5-32-544 (Administrators),*S-1-5-32-544 (Administrators),Moderate,Audit policies are low-risk to enable and strongly recommended for incident response. Only skip if event log storage or SIEM capacity is a documented constraint.
CISv4 - WIN - L1 - Manage preview builds,This policy setting manages which updates that are received prior to the update being released The recommended state for this setting is: Disable Preview builds.,Disable Preview builds,Simple,"'manage preview builds' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Manage processing of Queue-specific files:  Manage processing of Queue-Specific files,"This policy setting manages how queue-specific files are processed during printer installation. At printer installation time, a vendor-supplied installation application can specify a set of files, of any type, to be associated with a particular print queue. The files are downloaded to each client that connects to the print server. The recommended state for this setting is: Enabled: Limit Queue-specific files to Color profiles.",Enabled: Limit Queue-specific files to Color profiles,Simple,"'manage processing of queue-specific files:  manage processing of queue-specific files' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - Microsoft network client: Digitally sign  communications (always),"This policy setting determines whether packet signing is required by the SMB client component. Note: When Windows Vista-based computers have this policy setting enabled and they connect to file or print shares on remote servers, it is important that the setting is synchronized with its companion setting, Microsoft network server: Digitally sign communications (always), on those servers. For more information about these settings, see the ""Microsoft network client and server: Digitally sign communications (four related settings)"" section in Chapter 5 of the Threats and Countermeasures guide. The recommended state for this setting is: Enabled.",Enabled,Simple,"'microsoft network client: digitally sign  communications (always)' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
CISv4 - WIN - L1 - 'Microsoft network client: Digitally sign  communications (if server agrees),This policy setting determines whether the SMB client will attempt to negotiate SMB packet signing. Note: Enabling this policy setting on SMB clients on your network makes them fully effective for packet signing with all clients and servers in your environment. The recommended state for this setting is: Enabled,Enabled,Simple,"''microsoft network client: digitally sign  communications (if server agrees)' is a low-complexity, single-value setting with minimal operational impact. Apply the recommended state; deviation requires a specific documented business or technical exception."
